Date,Team1,Score1,Team2,Score2,Total_Score,Odd_Even
2015-03-28,NC,4,두산,9,13,O
2015-03-28,한화,4,넥센,5,9,O
2015-03-28,SK,1,삼성,6,7,O
2015-03-28,LG,1,KIA,3,4,E
2015-03-28,KT,9,롯데,12,21,O
2015-03-29,KT,4,롯데,5,9,O
2015-03-29,LG,6,KIA,7,13,O
2015-03-29,SK,7,삼성,3,10,E
2015-03-29,한화,5,넥센,3,8,E
2015-03-29,NC,1,두산,4,5,O
2015-03-31,롯데,7,LG,1,8,E
2015-03-31,삼성,8,KT,6,14,E
2015-04-01,롯데,2,LG,3,5,O
2015-04-01,KIA,3,SK,0,3,O
2015-04-01,두산,6,한화,3,9,O
2015-04-01,넥센,3,NC,10,13,O
2015-04-01,삼성,5,KT,1,6,E
2015-04-02,두산,2,한화,4,6,E
2015-04-03,삼성,7,LG,3,10,E
2015-04-03,SK,3,넥센,14,17,O
2015-04-03,두산,0,롯데,5,5,O
2015-04-03,한화,6,NC,11,17,O
2015-04-03,KIA,5,KT,0,5,O
2015-04-04,KIA,10,KT,2,12,E
2015-04-04,SK,10,넥센,4,14,E
2015-04-04,삼성,2,LG,3,5,O
2015-04-05,삼성,5,LG,6,11,O
2015-04-05,두산,4,롯데,16,20,E
2015-04-05,한화,2,NC,9,11,O
2015-04-05,KIA,4,KT,1,5,O
2015-04-05,SK,13,넥센,7,20,E
2015-04-07,NC,5,KIA,3,8,E
2015-04-07,롯데,1,삼성,3,4,E
2015-04-07,LG,3,한화,4,7,O
2015-04-07,KT,2,SK,3,5,O
2015-04-07,넥센,17,두산,4,21,O
2015-04-08,NC,13,KIA,5,18,E
2015-04-08,롯데,2,삼성,4,6,E
2015-04-08,LG,3,한화,2,5,O
2015-04-08,KT,1,SK,2,3,O
2015-04-08,넥센,4,두산,9,13,O
2015-04-09,넥센,0,두산,1,1,O
2015-04-09,KT,2,SK,13,15,O
2015-04-09,LG,4,한화,5,9,O
2015-04-09,롯데,4,삼성,5,9,O
2015-04-09,NC,4,KIA,2,6,E
2015-04-10,SK,3,NC,2,5,O
2015-04-10,한화,9,롯데,10,19,O
2015-04-10,KIA,3,삼성,4,7,O
2015-04-10,KT,0,넥센,6,6,E
2015-04-10,두산,2,LG,5,7,O
2015-04-11,두산,9,LG,6,15,O
2015-04-11,KT,6,넥센,4,10,E
2015-04-11,KIA,2,삼성,5,7,O
2015-04-11,한화,4,롯데,1,5,O
2015-04-11,SK,2,NC,4,6,E
2015-04-12,한화,3,롯데,15,18,E
2015-04-12,SK,11,NC,8,19,O
2015-04-12,KIA,9,삼성,7,16,E
2015-04-12,KT,5,넥센,3,8,E
2015-04-12,두산,2,LG,3,5,O
2015-04-14,삼성,3,한화,5,8,E
2015-04-14,NC,4,롯데,5,9,O
2015-04-14,두산,18,KT,2,20,E
2015-04-15,두산,7,KT,6,13,O
2015-04-15,NC,0,롯데,6,6,E
2015-04-15,삼성,8,한화,3,11,O
2015-04-15,넥센,6,SK,4,10,E
2015-04-15,KIA,9,LG,4,13,O
2015-04-16,NC,8,롯데,3,11,O
2015-04-16,넥센,0,SK,10,10,E
2015-04-16,KIA,5,LG,10,15,O
2015-04-17,넥센,4,KIA,3,7,O
2015-04-17,KT,1,삼성,6,7,O
2015-04-17,NC,6,한화,10,16,E
2015-04-17,LG,6,SK,1,7,O
2015-04-17,롯데,1,두산,12,13,O
2015-04-18,롯데,5,두산,7,12,E
2015-04-18,LG,4,SK,8,12,E
2015-04-18,NC,6,한화,8,14,E
2015-04-18,KT,1,삼성,3,4,E
2015-04-18,넥센,5,KIA,1,6,E
2015-04-19,넥센,15,KIA,4,19,O
2015-04-21,SK,9,KT,3,12,E
2015-04-21,삼성,5,NC,0,5,O
2015-04-21,롯데,2,KIA,3,5,O
2015-04-21,두산,0,넥센,12,12,E
2015-04-21,한화,0,LG,10,10,E
2015-04-22,한화,5,LG,2,7,O
2015-04-22,두산,12,넥센,9,21,O
2015-04-22,롯데,7,KIA,6,13,O
2015-04-22,삼성,6,NC,2,8,E
2015-04-22,SK,0,KT,2,2,E
2015-04-23,SK,3,KT,2,5,O
2015-04-23,삼성,14,NC,4,18,E
2015-04-23,롯데,6,KIA,7,13,O
2015-04-23,두산,7,넥센,5,12,E
2015-04-23,한화,2,LG,5,7,O
2015-04-24,KIA,3,두산,7,10,E
2015-04-24,SK,0,한화,2,2,E
2015-04-24,삼성,3,롯데,5,8,E
2015-04-24,LG,3,NC,11,14,E
2015-04-24,넥센,9,KT,2,11,O
2015-04-25,넥센,3,KT,0,3,O
2015-04-25,LG,6,NC,2,8,E
2015-04-25,삼성,9,롯데,12,21,O
2015-04-25,SK,6,한화,7,13,O
2015-04-25,KIA,5,두산,4,9,O
2015-04-26,KIA,3,두산,4,7,O
2015-04-26,SK,4,한화,5,9,O
2015-04-26,삼성,1,롯데,7,8,E
2015-04-26,넥센,11,KT,4,15,O
2015-04-26,LG,7,NC,6,13,O
2015-04-28,KT,2,두산,6,8,E
2015-04-28,롯데,4,넥센,8,12,E
2015-04-28,NC,8,SK,6,14,E
2015-04-28,LG,7,삼성,4,11,O
2015-04-29,한화,4,KIA,9,13,O
2015-04-29,LG,2,삼성,6,8,E
2015-04-30,KT,3,두산,4,7,O
2015-04-30,롯데,4,넥센,2,6,E
2015-04-30,NC,6,SK,9,15,O
2015-04-30,LG,5,삼성,8,13,O
2015-04-30,한화,6,KIA,0,6,E
2015-05-01,넥센,3,LG,1,4,E
2015-05-01,롯데,5,한화,7,12,E
2015-05-01,두산,4,삼성,12,16,E
2015-05-01,SK,3,KIA,1,4,E
2015-05-01,NC,4,KT,2,6,E
2015-05-02,NC,12,KT,2,14,E
2015-05-02,SK,2,KIA,5,7,O
2015-05-02,두산,3,삼성,5,8,E
2015-05-02,롯데,3,한화,5,8,E
2015-05-02,넥센,4,LG,3,7,O
2015-05-03,넥센,6,LG,2,8,E
2015-05-03,롯데,6,한화,3,9,O
2015-05-03,NC,11,KT,2,13,O
2015-05-05,KIA,3,NC,7,10,E
2015-05-05,SK,11,롯데,4,15,O
2015-05-05,KT,8,한화,15,23,O
2015-05-05,삼성,4,넥센,9,13,O
2015-05-05,LG,3,두산,10,13,O
2015-05-06,LG,4,두산,5,9,O
2015-05-06,삼성,5,넥센,3,8,E
2015-05-06,KT,8,한화,5,13,O
2015-05-06,SK,5,롯데,3,8,E
2015-05-06,KIA,4,NC,5,9,O
2015-05-07,KIA,4,NC,2,6,E
2015-05-07,SK,3,롯데,2,5,O
2015-05-07,KT,7,한화,6,13,O
2015-05-07,삼성,13,넥센,4,17,O
2015-05-07,LG,6,두산,4,10,E
2015-05-08,LG,3,KT,7,10,E
2015-05-08,롯데,3,NC,4,7,O
2015-05-08,삼성,0,SK,3,3,O
2015-05-08,KIA,4,넥센,5,9,O
2015-05-08,한화,10,두산,6,16,E
2015-05-09,한화,3,두산,4,7,O
2015-05-09,KIA,5,넥센,7,12,E
2015-05-09,삼성,3,SK,1,4,E
2015-05-09,롯데,3,NC,6,9,O
2015-05-09,LG,2,KT,3,5,O
2015-05-10,롯데,2,NC,6,8,E
2015-05-10,삼성,5,SK,7,12,E
2015-05-10,KIA,11,넥센,6,17,O
2015-05-10,한화,0,두산,6,6,E
2015-05-10,LG,6,KT,2,8,E
2015-05-12,넥센,4,롯데,5,9,O
2015-05-12,KT,2,KIA,3,5,O
2015-05-12,한화,5,삼성,4,9,O
2015-05-13,넥센,8,롯데,9,17,O
2015-05-13,KT,8,KIA,9,17,O
2015-05-13,한화,0,삼성,3,3,O
2015-05-13,두산,5,SK,2,7,O
2015-05-13,NC,2,LG,6,8,E
2015-05-14,NC,0,LG,0,0,E
2015-05-14,두산,8,SK,9,17,O
2015-05-14,한화,9,삼성,7,16,E
2015-05-14,KT,2,KIA,10,12,E
2015-05-14,넥센,10,롯데,5,15,O
2015-05-15,롯데,11,KT,10,21,O
2015-05-15,NC,7,삼성,5,12,E
2015-05-15,넥센,6,한화,3,9,O
2015-05-15,SK,5,LG,2,7,O
2015-05-16,롯데,10,KT,1,11,O
2015-05-16,두산,7,KIA,5,12,E
2015-05-16,NC,8,삼성,9,17,O
2015-05-16,넥센,8,한화,5,13,O
2015-05-16,SK,7,LG,6,13,O
2015-05-17,SK,4,LG,6,10,E
2015-05-17,NC,2,삼성,0,2,E
2015-05-17,두산,3,KIA,4,7,O
2015-05-17,롯데,6,KT,2,8,E
2015-05-17,넥센,6,한화,7,13,O
2015-05-19,KT,4,NC,2,6,E
