Date,Team1,Score1,Team2,Score2
2024-03-23,한화,2,LG,8
2024-03-23,롯데,3,SSG,5
2024-03-23,삼성,6,KT,2
2024-03-23,키움,5,KIA,7
2024-03-23,두산,3,NC,4
2024-03-24,두산,6,NC,3
2024-03-24,삼성,11,KT,8
2024-03-24,롯데,6,SSG,7
2024-03-24,한화,8,LG,4
2024-03-26,키움,5,NC,10
2024-03-26,롯데,1,KIA,2
2024-03-26,두산,8,KT,5
2024-03-26,한화,6,SSG,0
2024-03-26,삼성,3,LG,4
2024-03-27,삼성,2,LG,2
2024-03-27,한화,3,SSG,1
2024-03-27,두산,11,KT,8
2024-03-27,롯데,2,KIA,8
2024-03-27,키움,2,NC,6
2024-03-28,두산,7,KT,8
2024-03-28,한화,10,SSG,6
2024-03-28,삼성,1,LG,18
2024-03-29,NC,1,롯데,3
2024-03-29,SSG,6,삼성,4
2024-03-29,KT,2,한화,3
2024-03-29,LG,3,키움,0
2024-03-29,KIA,4,두산,2
2024-03-30,KT,5,한화,8
2024-03-30,NC,8,롯데,0
2024-03-30,SSG,9,삼성,6
2024-03-30,LG,3,키움,8
2024-03-30,KIA,0,두산,8
2024-03-31,KIA,9,두산,3
2024-03-31,LG,4,키움,8
2024-03-31,KT,3,한화,14
2024-03-31,SSG,4,삼성,3
2024-03-31,NC,8,롯데,7
2024-04-02,NC,7,LG,5
2024-04-02,두산,6,SSG,13
2024-04-02,KIA,6,KT,10
2024-04-02,롯데,1,한화,0
2024-04-02,키움,8,삼성,3
2024-04-03,KIA,5,KT,1
2024-04-03,두산,3,SSG,5
2024-04-03,NC,0,LG,5
2024-04-04,NC,7,LG,8
2024-04-04,두산,2,SSG,3
2024-04-04,KIA,6,KT,3
2024-04-04,롯데,5,한화,6
2024-04-04,키움,10,삼성,1
2024-04-05,SSG,0,NC,5
2024-04-05,두산,4,롯데,3
2024-04-05,삼성,2,KIA,5
2024-04-05,한화,7,키움,11
2024-04-05,KT,8,LG,7
2024-04-06,KT,4,LG,8
2024-04-06,한화,6,키움,7
2024-04-06,삼성,7,KIA,4
2024-04-06,두산,1,롯데,8
2024-04-06,SSG,3,NC,16
2024-04-07,SSG,1,NC,10
2024-04-07,두산,6,롯데,7
2024-04-07,삼성,7,KIA,3
2024-04-07,한화,3,키움,4
2024-04-07,KT,7,LG,16
2024-04-09,KT,6,NC,1
2024-04-09,삼성,8,롯데,1
2024-04-09,LG,2,KIA,7
2024-04-09,키움,5,SSG,8
2024-04-09,한화,3,두산,5
2024-04-10,한화,4,두산,7
2024-04-10,키움,4,SSG,8
2024-04-10,LG,4,KIA,5
2024-04-10,삼성,10,롯데,7
2024-04-10,KT,2,NC,3
2024-04-11,KT,7,NC,8
2024-04-11,삼성,4,롯데,0
2024-04-11,LG,4,KIA,8
2024-04-11,키움,5,SSG,2
2024-04-11,한화,3,두산,0
2024-04-12,NC,8,삼성,3
2024-04-12,KIA,8,한화,4
2024-04-12,SSG,3,KT,8
2024-04-12,롯데,4,키움,9
2024-04-12,LG,2,두산,1
2024-04-13,KIA,11,한화,9
2024-04-13,LG,2,두산,5
2024-04-13,롯데,1,키움,8
2024-04-13,SSG,11,KT,8
2024-04-13,NC,4,삼성,3
2024-04-14,NC,5,삼성,12
2024-04-14,KIA,5,한화,2
2024-04-14,SSG,8,KT,1
2024-04-14,롯데,5,키움,7
2024-04-14,LG,5,두산,9
2024-04-16,한화,7,NC,4
2024-04-16,두산,5,삼성,7
2024-04-16,KIA,4,SSG,6
2024-04-16,KT,3,키움,6
2024-04-16,롯데,2,LG,7
2024-04-17,롯데,5,LG,6
2024-04-17,KT,6,키움,4
2024-04-17,KIA,11,SSG,3
2024-04-17,두산,2,삼성,9
2024-04-17,한화,3,NC,4
2024-04-18,두산,2,삼성,5
2024-04-18,KIA,5,SSG,7
2024-04-18,KT,3,키움,0
2024-04-18,롯데,9,LG,2
2024-04-19,KT,3,롯데,4
2024-04-19,NC,3,KIA,4
2024-04-19,삼성,1,한화,6
2024-04-19,LG,4,SSG,1
2024-04-19,키움,8,두산,19
2024-04-20,삼성,1,한화,0
2024-04-20,NC,2,KIA,9
2024-04-21,KT,9,롯데,9
2024-04-21,NC,15,KIA,4
2024-04-21,삼성,5,한화,3
2024-04-21,LG,10,SSG,8
2024-04-21,키움,8,두산,4
2024-04-21,KT,5,롯데,7
2024-04-21,LG,5,SSG,5
2024-04-21,키움,1,두산,2
2024-04-23,LG,3,삼성,7
2024-04-23,한화,6,KT,9
2024-04-23,KIA,5,키움,2
2024-04-23,NC,3,두산,4
2024-04-24,NC,3,두산,1
2024-04-24,KIA,6,키움,4
2024-04-24,한화,1,KT,7
2024-04-24,LG,0,삼성,6
2024-04-24,SSG,12,롯데,7
2024-04-25,SSG,3,롯데,6
2024-04-25,LG,8,삼성,2
2024-04-25,한화,0,KT,9
2024-04-25,KIA,13,키움,2
2024-04-25,NC,3,두산,7
2024-04-26,롯데,0,NC,4
2024-04-26,두산,10,한화,5
2024-04-26,KT,2,SSG,5
2024-04-26,삼성,3,키움,0
2024-04-26,KIA,6,LG,7
2024-04-27,KIA,3,LG,6
2024-04-27,삼성,11,키움,0
2024-04-27,KT,5,SSG,2
2024-04-27,두산,5,한화,10
2024-04-27,롯데,0,NC,2
2024-04-28,롯데,3,NC,5
